,tunnel,mar_diminutif,prdp_code,prod_groupe,ref_prix,form_typ,frq_totale,nb_equipe,coeff,cout_ht,cout_total
0,Neuilly,Bâtiment,BATCJN010,Contrôle des IS de jour,VJO010,sum_2,6.0,0.3333333333333333,1.0,3043.0,6086.0
1,Neuilly,Bâtiment,BATCJN011,Contrôle des IS de jour,VJO011,sum_2,6.0,0.3333333333333333,1.0,3043.0,6086.0
2,Neuilly,Bâtiment,BATCNO010,Contrôle des IS + niches de nuit,VNO010,sum_2,6.0,0.3333333333333333,1.0,4570.0,9140.0
3,Neuilly,Bâtiment,BATCNO011,Contrôle des IS + niches de nuit,VNO011,sum_2,6.0,0.3333333333333333,1.0,4570.0,9140.0
4,Neuilly,Bâtiment,BATMPO010,Préventif IS + niches,MPO010,sum_2,1.0,0.3333333333333333,1.0,4926.0,1642.0
5,Neuilly,Bâtiment,BATMPO011,Préventif IS + niches,MPO011,sum_2,1.0,0.3333333333333333,1.0,4926.0,1642.0
6,Neuilly,Propreté,PRPLTB008,Lavage d'un tube,POL008,direct_reference,2.0,2.0,1.0,4786.98,19147.92
7,Neuilly,ContReg,CRGVPA106,Vérification des installations électriques,CRC106,direct_reference,1.0,1.0,1.0,486.45,486.45
8,Neuilly,ContReg,CRGVPA107,Vérification des installations électriques,CRC107,direct_reference,1.0,1.0,1.0,864.8,864.8
9,Neuilly,ContReg,CRGVIO102,Vérification des installations électriques,CRO102,direct_reference,1.0,2.0,1.0,648.6,1297.2
10,Neuilly,ContReg,CRGDLA101,Vérification des dispositifs de levage,CRC101,direct_reference,1.0,0.0,1.0,648.6,0.0
11,Neuilly,ContReg,CRGDLB102,Vérification des dispositifs de levage,CRC102,direct_reference,1.0,2.0,1.0,864.8,1729.6
12,Neuilly,ContReg,CRGDLC103,Vérification des dispositifs de levage,CRC103,direct_reference,1.0,0.0,1.0,1081.0,0.0
13,Neuilly,Eclairage,ECLNPO006,Nettoyage des plots de jalonnement pour un sens,ECPO06,direct_reference,2.0,2.0,1.0,350.41,1401.64
14,Neuilly,Eclairage,ECLNEO020,Nettoyage de l'éclairage pour un sens,ECPO20,direct_reference,2.0,2.0,1.0,1833.72,7334.88
