,Unnamed: 0,mar_diminutif,tunnel,prdp_code,prod_groupe,ref_prix,freq_annuelle,ajust_freq_suppl,frq_totale,nb_equipe,cout_ht,cout_total,equipements,nomb_equipe
0,0,Bâtiment,Saint-Cloud,BATCJN001,Contrôle des IS de jour,VJO001,6.0,0.0,6.0,1.0,2029.0,12174.0,,1.0
1,1,Bâtiment,Saint-Cloud,BATCJN002,Contrôle des IS de jour,VJO002,6.0,0.0,6.0,1.0,1522.0,9132.0,,1.0
2,2,Bâtiment,Saint-Cloud,BATCNO001,Contrôle des IS + niches de nuit,VNO001,6.0,0.0,6.0,1.0,3264.0,19584.0,,1.0
3,3,Bâtiment,Saint-Cloud,BATCNO002,Contrôle des IS + niches de nuit,VNO002,6.0,0.0,6.0,1.0,2611.0,15666.0,,1.0
4,4,Bâtiment,Saint-Cloud,BATMPO001,Préventif IS + niches,MPO001,1.0,0.0,1.0,1.0,3519.0,3519.0,,1.0
5,5,Bâtiment,Saint-Cloud,BATMPO002,Préventif IS + niches,MPO002,1.0,0.0,1.0,1.0,2815.0,2815.0,,1.0
6,6,Propreté,Saint-Cloud,PRPLTB003,Lavage d'un tube,POL003,2.0,0.0,2.0,2.0,10734.42,42937.68,,2.0
7,7,ContReg,Saint-Cloud,CRGVPA106,Vérification des installations électriques,CRC106,1.0,0.0,1.0,1.0,486.45,486.45,,1.0
8,8,ContReg,Saint-Cloud,CRGVPA107,Vérification des installations électriques,CRC107,1.0,0.0,1.0,1.0,864.8,864.8,,1.0
9,9,ContReg,Saint-Cloud,CRGVIO119,Vérification des installations électriques,CRO119,1.0,0.0,1.0,1.0,324.3,324.3,,1.0
10,10,ContReg,Saint-Cloud,CRGVIO120,Vérification des installations électriques,CRO120,1.0,0.0,1.0,1.0,324.3,324.3,,1.0
11,11,ContReg,Saint-Cloud,CRGVIO121,Vérification des installations électriques,CRO121,1.0,0.0,1.0,1.0,540.5,540.5,,1.0
12,12,ContReg,Saint-Cloud,CRGDLA101,Vérification des dispositifs de levage,CRC101,1.0,0.0,1.0,0.0,648.6,0.0,Dispositif de levage inférieur ou égal à 3 tonnes,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Dispositif de levage inférieur ou égal à 3 tonnes"")"
13,13,ContReg,Saint-Cloud,CRGDLB102,Vérification des dispositifs de levage,CRC102,1.0,0.0,1.0,2.0,864.8,1729.6,Dispositif de levage inférieur compris entre 3 et 6 tonnes,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Dispositif de levage inférieur compris entre 3 et 6 tonnes"")"
14,14,ContReg,Saint-Cloud,CRGDLC103,Vérification des dispositifs de levage,CRC103,1.0,0.0,1.0,0.0,1081.0,0.0,Dispositif de levage inférieur supérieur à 6 tonnes,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Dispositif de levage inférieur supérieur à 6 tonnes"")"
15,15,Eclairage,Saint-Cloud,ECLNPB004,Nettoyage des plots de jalonnement pour un sens,ECPB04,2.0,0.0,2.0,2.0,529.42,2117.68,,2.0
16,16,Eclairage,Saint-Cloud,ECLNEB016,Nettoyage de l'éclairage pour un sens,ECPB16,2.0,0.0,2.0,2.0,2882.91,11531.64,,2.0
17,17,Eclairage,Saint-Cloud,ECLRSB060,Remplacement systématiques des sources,ECPB60,0.4,0.0,0.4,2.0,3397.96,2718.37,,2.0
18,18,Eclairage,Saint-Cloud,ECLRSB061,Remplacement systématiques des sources,ECPB61,0.4,0.0,0.4,2.0,7135.73,5708.58,,2.0
19,19,Eclairage,Saint-Cloud,ECLRSB062,Remplacement systématiques des sources,ECPB62,0.4,0.0,0.4,2.0,3399.0,2719.2,,2.0
20,20,Eclairage,Saint-Cloud,ECLRSB063,Remplacement systématiques des sources,ECPB63,0.4,0.0,0.4,2.0,7135.73,5708.58,,2.0
21,21,Eclairage,Saint-Cloud,ECLRSB064,Remplacement systématiques des sources,ECPB64,0.4,0.0,0.4,2.0,4757.15,3805.72,,2.0
22,22,Eclairage,Saint-Cloud,ECLRSB065,Remplacement systématiques des sources,ECPB65,0.4,0.0,0.4,2.0,5436.75,4349.4,,2.0
23,23,AEV,Saint-Cloud,AEVEFB013,Essais fonctionnels pour un sens,AEFB13,2.0,0.0,2.0,2.0,801.05,3204.2,,2.0
24,24,AEV,Saint-Cloud,AEVMPB013,Maintenance préventive pour un sens,AEPB13,2.0,0.0,2.0,2.0,2657.19,10628.76,,2.0
25,25,AEV,Saint-Cloud,AEVPLV008,Maintenance préventive prises/coffret pompier,AEV08,1.0,0.0,1.0,23.0,61.7,1419.1,Niche sécurité,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Niche sécurité"")"
26,26,Automate,Saint-Cloud,AUTPAB019,Préventif automates principaux et baies MESD (fiche n°3 du CCTP),AUPR19,1.0,0.0,1.0,1.0,364.59968,364.6,,1.0
27,27,Automate,Saint-Cloud,AUTPAR020,Préventif armoires MESD (fiche n°4 du CCTP),AUPR20,1.0,0.0,1.0,1.0,917.81224,917.81,MESD METIER,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""MESD METIER"")"
28,28,Automate,Saint-Cloud,AUTPAM047,Préventif automates métier (fiche n°5 du CCTP),AUPR47,1.0,0.0,1.0,1.0,202.4713,202.47,AUTOMATE METIER,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""AUTOMATE METIER"")"
29,29,Automate,Saint-Cloud,AUTPAR048,Préventif armoires MESD (fiche n°4 du CCTP),AUPR48,1.0,0.0,1.0,0.0,91.39855,0.0,MESD METIER,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""MESD METIER"")"
30,30,PAU/TSE,Saint-Cloud,RTSPPO010,Maintenance préventive de l'ensemble des PAU du tunnel,RAU-PO10,4.0,0.0,4.0,1.0,992.03,3968.12,,1.0
31,31,PAU/TSE,Saint-Cloud,RTSPTO010,Maintenance préventive de l'ensemble des TSE du tunnel,TSE-PO10,4.0,0.0,4.0,1.0,584.79,2339.16,,1.0
32,32,Onduleur,Saint-Cloud,ONDPOA001,Maintenance préventive d'un onduleur,ONP001,1.0,0.0,1.0,0.0,304.01,0.0,Maintenance préventive Onduleur ≤ 60 kVA,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""Maintenance préventive Onduleur ≤ 60 kVA"")"
