Métier;Equipement Coswin;Boissy;Champigny;Guy Môquet;Moulin;Nogent;Hors tunnel;Créteil;Ambroise Paré;Belle-Rive;Chennevières;Mozart;Nanterre échangeur;Fontenay;La Défense;Jonchere;Nanterre Centre;Neuilly;Saint-Cloud;Sévines;Trinity;Hors tunnel;Bobigny;CouvBagnolet;La Courneuve;Landy;Lumen-Norton;Taverny;Hors Tunnel;Antony;Bicêtre;Fresnes;Italie;Orléans;Orly;Hors Tunnel
Auto-évacuation;COFFRET (prises pompier);;;;;;;;;;;;4;12;;;;;;;;;;;;;;;;;;;;;;
Automate;AUTOMATE METIER;3;2;1;0;16;45;?;;5;;;3;1;8;;6;;1;1;;26;25;;;9;5;7;23;5;3;2;1;;;27
Automate;MESD;17;32;19;26;37;0;?;25;40;8;;35;17;106;;28;11;29;9;1;;97;;7;41;27;9;;23;;7;4;;14;
Automate;MESD METIER;9;0;0;0;16;0;?;;;;;;;;;;;;;;;;;;;;;;2;;7;;;;
Clim;CLIM-CHAUFFAGE;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;0;0;0;;10;;;;;;;;;;;;;;
Clim;CLIM-CONDENSEUR;6;4;1;3;0;36;?;0;1;1;;4;1;5;1;5;0;0;1;;25;6;;;;2;1;35;3;4;1;1;;2;25
Clim;CLIM-CONFORT;;;;;;;;0;0;0;;0;0;0;0;0;0;0;0;;17;;;;;;;;;;;;;;
Clim;CLIM-EVAPORATEUR;6;1;2;4;7;45;?;0;1;1;;1;1;4;1;5;0;0;2;;36;;;;;;1;70;6;4;1;1;;10;30
Clim;CLIM-LOCAL;0;3;0;4;8;45;?;2;3;2;;19;1;28;1;7;5;3;0;;16;11;;;7;2;4;10;2;;2;2;;;17
Détection;LUMANDAR+LUMINANCEMETRE;2;3;2;2;2;;;2;3;2;;4;2;1;;2;;2;;2;;2;;3;2;3;2;;2;4;4;3;;3;
Incendie;BORNE INCENDIE;4;6;8;13;24;0;0;18;13;6;;18;6;62;3;12;6;17;6;4;;31;;4;24;14;8;;10;;10;;;6;
Incendie;CENTRALE INCENDIE;1;2;1;2;2;0;0;2;2;2;;3;1;17;1;5;2;4;2;;;7;;;3;2;2;;6;2;1;1;;1;1
Incendie;COLONNE SECHE;0;4;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;12;;5;;9;
Incendie;DOUCHE PORTATIVE;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;1
Incendie;POSTE FIXE;0;0;0;3;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Incendie;ENSEMBLE RESEAU INCENDIE;0;0;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Incendie;EXTINCTEUR;36;69;19;29;115;52;68;61;44;23;2;73;42;301;17;76;30;69;34;8;22;100;1;14;87;33;24;37;72;50;32;30;11;31;63
Incendie;Maintenance Préventive Extincteur Poudre 6 kg;;43;18;25;57;;;29;36;13;;26;24;143;;25;20;40;19;;;64;;9;52;25;16;;46;44;26;17;;;
Incendie;Maintenance Préventive Extincteur Poudre 9 kg;;;;;;;;10;1;;;;;21;;13;1;8;;;;;;;5;1;;;2;45;;2;;;
Incendie;Maintenance Préventive Extincteur Poudre 50 kg;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;3;;;;;
Incendie;Maintenance Préventive Extincteur Eau 6 L;26;10;;;7;;;;5;;;8;;38;;2;1;;1;;;;;;2;;;;;;;;;20;
Incendie;Maintenance Préventive Extincteur Eau 9 L;;;;;9;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Incendie;Maintenance Préventive Extincteur CO2 2 kg;10;7;;1;3;54;;1;5;;;;;3;;2;;1;;;4;10;;3;4;2;8;4;10;;5;;;;
Incendie;Maintenance Préventive Extincteur CO2 5 kg;;9;2;4;36;4;;21;16;10;;;;107;;31;8;20;15;;15;26;;2;23;5;;31;15;2;6;10;;11;29
