;Unnamed: 0;mar_diminutif;prod_code;prdp_code;montant_ht_2023;montant_ht_2024;prod_designation
0;0;Bat;B2P001;BATMAI001;48033.05;95676.42;Prestation de maintenance préventive d'une issue de secours
1;1;Bat;B2P003;BATMAN003;39268.71;27336.12;Prestation de maintenance préventive d une niche de secours
2;2;Bat;B2P002;BATPLV002;7200.0;9011.87;Plus-value à l entretien d une issue de secours pour entretien préventif d une trappe d issue de secours
3;3;Bâtiment;MPE001;BATMPE001;0.0;0.0;EST - Inspection de maintenance préventive des issues et niches dans le tunnel de Boissy (sens W)
4;4;Bâtiment;MPE002;BATMPE002;0.0;0.0;EST - Inspection de maintenance préventive des issues et niches dans le tunnel de Boissy (sens Y)
5;5;Bâtiment;MPE003;BATMPE003;0.0;0.0;EST - Inspection de maintenance préventive des issues et niches dans le tunnel de Champigny (sens W)
6;6;Bâtiment;MPE004;BATMPE004;0.0;0.0;EST - Inspection de maintenance préventive des issues et niches dans le tunnel de Champigny (sens Y)
7;7;Bâtiment;MPE005;BATMPE005;0.0;0.0;EST - Inspection de maintenance préventive des issues et niches dans les tunnels Moulin et Guy Môquet (tube I)
8;8;Bâtiment;MPE006;BATMPE006;0.0;0.0;EST - Inspection de maintenance préventive des issues et niches dans les tunnels Moulin et Guy Môquet (tube E)
9;9;Bâtiment;MPE007;BATMPE007;0.0;0.0;EST - Inspection de maintenance préventive des issues et niches dans le tunnel de Nogent (sens I)
10;10;Bâtiment;MPE008;BATMPE008;0.0;0.0;EST - Inspection de maintenance préventive des issues et niches dans le tunnel de Nogent (sens E)
11;11;Bâtiment;MPN001;BATMPN001;0.0;0.0;NORD - Inspection de maintenance préventive des issues et niches dans les tunnels de Bobigny, Lumen-Norton et La Courneuve (tube I)
12;12;Bâtiment;MPN002;BATMPN002;0.0;0.0;NORD - Inspection de maintenance préventive des issues et niches dans les tunnels de Bobigny, Lumen-Norton et La Courneuve (tube E)
13;13;Bâtiment;MPN003;BATMPN003;0.0;0.0;NORD - Inspection de maintenance préventive des issues et niches dans le tunnel de Landy (sens W)
14;14;Bâtiment;MPN004;BATMPN004;0.0;0.0;NORD - Inspection de maintenance préventive des issues et niches dans le tunnel de Landy (sens Y)
15;15;Bâtiment;MPN005;BATMPN005;0.0;0.0;NORD - Inspection de maintenance préventive des issues et niches dans le tunnel de Taverny (deux sens)
16;16;Bâtiment;MPO001;BATMPO001;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans les tunnels Ambroise Paré et Saint-Cloud (sens W)
17;17;Bâtiment;MPO002;BATMPO002;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans les tunnels Ambroise Paré et Saint-Cloud (sens Y)
18;18;Bâtiment;MPO003;BATMPO003;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans le tunnel de Chennevières (deux sens)
19;19;Bâtiment;MPO004;BATMPO004;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans le tunnel de Fontenay (sens W)
20;20;Bâtiment;MPO005;BATMPO005;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans le tunnel de Fontenay (sens Y)
21;21;Bâtiment;MPO006;BATMPO006;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans le tunnel de Nanterre (tube I)
22;22;Bâtiment;MPO007;BATMPO007;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans le tunnel de Nanterre (tube E)
23;23;Bâtiment;MPO008;BATMPO008;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans le tunnel de Belle-Rive (tube E)
24;24;Bâtiment;MPO009;BATMPO009;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans le tunnel de Belle-Rive (tube I)
25;25;Bâtiment;MPO010;BATMPO010;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans les tunnels A14-Neuilly (sens W)
26;26;Bâtiment;MPO011;BATMPO011;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans les tunnels A14-Neuilly (sens Y)
27;27;Bâtiment;MPO012;BATMPO012;0.0;0.0;OUEST - Inspection de maintenance préventive des issues et niches dans le tunnel de Sévines (deux sens)
28;28;Bâtiment;MPS001;BATMPS001;0.0;0.0;SUD - Inspection de maintenance préventive des issues et niches dans les tunnels Bicêtre et Italie (sens W)
29;29;Bâtiment;MPS002;BATMPS002;0.0;0.0;SUD - Inspection de maintenance préventive des issues et niches dans les tunnels Bicêtre et Italie (sens Y)
30;30;Bâtiment;MPS003;BATMPS003;0.0;0.0;SUD - Inspection de maintenance préventive des issues et niches dans les tunnels d'Antony et Fresnes (tube I)
31;31;Bâtiment;MPS004;BATMPS004;0.0;0.0;SUD - Inspection de maintenance préventive des issues et niches dans les tunnels d'Antony et Fresnes (tube E)
32;32;Bâtiment;MPS005;BATMPS005;0.0;0.0;SUD - Inspection de maintenance préventive des issues et niches dans le tunnel d'Orly (deux sens)
33;33;Bâtiment;VJE001;BATCJE001;0.0;0.0;EST - Contrôle de jour des issues de secours du tunnel de Boissy (sens W)
