mar_diminutif,prod_code,prod_id,com_bud_annee,lieu,unite,typeP,com_prod_quantite,com_prod_montant_ht,quantite_constate
AEV,AEPB11,248147,2023,Chennevières,PCTT Ouest,Preventif,2.0,1722.76,2.0
AEV,AEPB11,248147,2024,Chennevières,PCTT Ouest,Preventif,2.0,1762.38,2.0
AEV,AEF10,248149,2023,Antony,PCTT Sud,Curatif,2.0,8325.02,2.0
AEV,AEF10,248149,2023,Bicêtre,PCTT Sud,Curatif,1.0,4068.92,1.0
AEV,AEF10,248149,2023,Landy,PCTT Nord,Curatif,4.0,16650.04,4.0
AEV,AEF10,248149,2023,Nanterre / La Défense,PCTT Ouest,Curatif,3.0,12487.53,0.0
AEV,AEF10,248149,2023,PCTT,PCTT Sud,Fourniture,5.0,20812.55,5.0
AEV,AEF10,248149,2024,Landy,PCTT Nord,Curatif,1.0,4300.85,1.0
AEV,AEF10,248149,2024,Nogent,PCTT Est,Fourniture,2.0,8325.02,2.0
AEV,AEF10,248149,2024,PCTT,PCTT Est,Fourniture,4.0,16650.04,4.0
AEV,AEF10,248149,2024,PCTT,PCTT Sud,Fourniture,6.0,25805.1,0.0
AEV,AEF10,248149,2024,Saint Cloud,PCTT Ouest,Curatif,1.0,4300.85,1.0
AEV,AEF10,248149,2024,Taverny,PCTT Nord,Curatif,1.0,4300.85,1.0
AEV,AEC14,248151,2023,Nogent,PCTT Est,Curatif,1.0,131.04,1.0
AEV,AEC14,248151,2023,Saint Cloud,PCTT Ouest,Curatif,2.0,262.08,2.0
AEV,AEC14,248151,2024,Boissy-Saint-Léger,PCTT Est,Curatif,23.0,3013.92,23.0
AEV,AEC14,248151,2024,Nogent,PCTT Est,Curatif,6.0,799.29,6.0
AEV,AEC14,248151,2024,Saint Cloud,PCTT Ouest,Curatif,1.0,131.04,1.0
AEV,AEF11,248157,2024,Bobigny-Lumen-Norton,PCTT Nord,Curatif,1.0,4162.51,1.0
AEV,AEF11,248157,2024,Nanterre / La Défense,PCTT Ouest,Curatif,2.0,8601.7,2.0
AEV,AEF11,248157,2024,Saint Cloud,PCTT Ouest,Curatif,1.0,4162.51,1.0
AEV,AEFN11,248159,2023,Bobigny-Lumen-Norton,PCTT Nord,Preventif,4.0,1453.8,4.0
AEV,AEFN11,248159,2024,Bobigny-Lumen-Norton,PCTT Nord,Preventif,4.0,1511.96,4.0
AEV,AEPN22,248161,2023,La Courneuve,PCTT Nord,Preventif,2.0,1481.56,2.0
AEV,AEPN22,248161,2024,La Courneuve,PCTT Nord,Preventif,2.0,1515.64,2.0
AEV,AEC28,248163,2024,Nanterre / La Défense,PCTT Ouest,Curatif,1.0,265.77,0.0
AEV,AEF07,248167,2023,Nanterre / La Défense,PCTT Ouest,Curatif,1.0,275.69,1.0
AEV,AEF07,248167,2024,Bicêtre,PCTT Sud,Curatif,1.0,284.85,1.0
AEV,AEF07,248167,2024,Landy,PCTT Nord,Curatif,1.0,275.69,1.0
AEV,AEF07,248167,2024,PCTT,PCTT Sud,Fourniture,9.0,2563.65,0.0
AEV,AEPN23,248171,2023,Landy,PCTT Nord,Preventif,2.0,6383.08,2.0
AEV,AEPN23,248171,2024,Landy,PCTT Nord,Preventif,2.0,6529.9,2.0
AEV,AEC18,248173,2023,Antony,PCTT Sud,Curatif,3.0,776.16,3.0
AEV,AEC18,248173,2023,Bicêtre,PCTT Sud,Curatif,1.0,252.9,1.0
AEV,AEC18,248173,2023,Landy,PCTT Nord,Curatif,8.0,2069.76,8.0
AEV,AEC18,248173,2023,Landy,PCTT Ouest,Curatif,2.0,505.8,2.0
AEV,AEC18,248173,2023,Nanterre / La Défense,PCTT Ouest,Curatif,3.0,776.16,0.0
AEV,AEC18,248173,2024,Antony,PCTT Sud,Curatif,3.0,801.96,3.0
AEV,AEC18,248173,2024,Bobigny-Lumen-Norton,PCTT Nord,Curatif,1.0,258.72,1.0
AEV,AEC18,248173,2024,Landy,PCTT Nord,Curatif,1.0,267.32,1.0
AEV,AEC18,248173,2024,Nanterre / La Défense,PCTT Ouest,Curatif,2.0,534.64,2.0
AEV,AEC18,248173,2024,Nogent,PCTT Est,Curatif,1.0,258.72,1.0
AEV,AEC18,248173,2024,Nogent,PCTT Est,Fourniture,1.0,258.72,1.0
AEV,AEC18,248173,2024,Saint Cloud,PCTT Ouest,Curatif,1.0,267.32,1.0
AEV,AEC18,248173,2024,Taverny,PCTT Nord,Curatif,1.0,267.32,1.0
AEV,AEC18,248173,2024,Thiais,PCTT Est,Curatif,1.0,267.32,1.0
AEV,AEF25,248175,2023,Bicêtre,PCTT Sud,Curatif,0.17,961.5,0.17
AEV,AEF25,248175,2023,Bobigny-Lumen-Norton,PCTT Nord,Curatif,2.02,11687.7,2.02
AEV,AEF25,248175,2023,Bobigny-Lumen-Norton,PCTT Nord,Fourniture,1.0,5785.99,1.0
AEV,AEF25,248175,2023,La Courneuve,PCTT Nord,Curatif,1.17,6769.61,1.17
AEV,AEF25,248175,2023,Nanterre / La Défense,PCTT Ouest,Curatif,1.68,9590.38,1.68
AEV,AEF25,248175,2023,Orly,PCTT Sud,Curatif,0.17,983.62,0.17
AEV,AEF25,248175,2023,PCTT,PCTT Sud,Fourniture,3.0,17357.97,3.0
AEV,AEF25,248175,2023,Saint Cloud,PCTT Ouest,Curatif,1.0,5785.99,1.0
AEV,AEF25,248175,2024,Bobigny-Lumen-Norton,PCTT Nord,Curatif,1.0,5785.99,1.0
AEV,AEF25,248175,2024,PCTT,PCTT Est,Fourniture,2.0,11571.98,2.0
AEV,AEF25,248175,2024,PCTT,PCTT Sud,Fourniture,4.0,23913.16,0.0
AEV,AEPO16,248177,2023,Neuilly,PCTT Ouest,Preventif,2.0,1951.2,2.0
AEV,AEPO16,248177,2024,Neuilly,PCTT Ouest,Preventif,4.0,3992.16,2.0
AEV,AEC99,248179,2023,Ambroise PARE,PCTT Ouest,Curatif,4.0,2282.08,0.0
AEV,AEC99,248179,2023,Antony,PCTT Sud,Curatif,2.0,1141.04,2.0
AEV,AEC99,248179,2023,Bellerive,PCTT Ouest,Curatif,10.0,5705.2,7.0
AEV,AEC99,248179,2023,Bicêtre,PCTT Sud,Curatif,10.0,5602.56,10.0
AEV,AEC99,248179,2023,Bobigny-Lumen-Norton,PCTT Nord,Curatif,5.0,2852.6,5.0
AEV,AEC99,248179,2023,Bobigny-Lumen-Norton,PCTT Ouest,Curatif,1.0,557.69,1.0
AEV,AEC99,248179,2023,Fresnes,PCTT Sud,Curatif,2.0,1141.04,2.0
AEV,AEC99,248179,2023,La Courneuve,PCTT Nord,Curatif,1.0,570.52,1.0
AEV,AEC99,248179,2023,Landy,PCTT Nord,Curatif,7.0,3993.64,7.0
AEV,AEC99,248179,2023,Landy,PCTT Ouest,Curatif,1.0,557.69,1.0
AEV,AEC99,248179,2023,Nanterre / La Défense,PCTT Ouest,Curatif,16.0,9115.49,15.0
AEV,AEC99,248179,2023,Nogent,PCTT Est,Curatif,6.0,3423.12,6.0
AEV,AEC99,248179,2023,PCTT,PCTT Ouest,Curatif,52.0,28999.88,52.0
AEV,AEC99,248179,2023,Saint Cloud,PCTT Ouest,Curatif,3.0,1698.73,1.0
AEV,AEC99,248179,2023,Taverny,PCTT Ouest,Curatif,1.0,557.69,1.0
AEV,AEC99,248179,2023,Thiais,PCTT Est,Curatif,3.0,1673.07,3.0
AEV,AEC99,248179,2024,Antony,PCTT Sud,Curatif,5.0,2890.52,5.0
AEV,AEC99,248179,2024,Bicêtre,PCTT Sud,Curatif,11.0,6484.28,10.0
AEV,AEC99,248179,2024,Bobigny-Lumen-Norton,PCTT Nord,Curatif,21.0,11980.92,21.0
AEV,AEC99,248179,2024,Fresnes,PCTT Sud,Curatif,1.0,570.52,1.0
AEV,AEC99,248179,2024,Italie,PCTT Sud,Curatif,4.0,2357.92,4.0
AEV,AEC99,248179,2024,La Courneuve,PCTT Nord,Curatif,2.0,1178.96,2.0
AEV,AEC99,248179,2024,Landy,PCTT Nord,Curatif,9.0,5134.68,9.0
AEV,AEC99,248179,2024,Nanterre / La Défense,PCTT Ouest,Curatif,7.0,4126.36,5.0
AEV,AEC99,248179,2024,Taverny,PCTT Nord,Curatif,1.0,589.48,1.0
AEV,AEC26,248181,2023,Landy,PCTT Ouest,Curatif,3.0,754.32,2.0
AEV,AEC26,248181,2024,Antony,PCTT Sud,Curatif,1.0,257.22,1.0
AEV,AEC26,248181,2024,Bobigny-Lumen-Norton,PCTT Nord,Curatif,1.0,257.22,1.0
AEV,AEC26,248181,2024,Champigny,PCTT Est,Curatif,2.0,522.99,2.0
AEV,AEC26,248181,2024,Fresnes,PCTT Sud,Curatif,1.0,257.22,1.0
AEV,AEC24,248183,2023,Antony,PCTT Sud,Curatif,2.0,279.58,2.0
AEV,AEC24,248183,2023,Nanterre / La Défense,PCTT Ouest,Curatif,1.0,136.65,1.0
AEV,AEC24,248183,2024,Fresnes,PCTT Sud,Curatif,2.0,279.58,2.0
AEV,AEC24,248183,2024,Nanterre / La Défense,PCTT Ouest,Curatif,2.0,288.88,0.0
AEV,AEC17,248189,2024,Bicêtre,PCTT Sud,Curatif,2.0,534.64,2.0
AEV,AEF19,248191,2023,Bobigny-Lumen-Norton,PCTT Nord,Curatif,7.0,25810.05,7.0
AEV,AEF19,248191,2023,Bobigny-Lumen-Norton,PCTT Ouest,Curatif,2.0,7208.5,2.0
AEV,AEF19,248191,2023,Landy,PCTT Nord,Curatif,1.0,3687.15,1.0
AEV,AEF19,248191,2023,Landy,PCTT Ouest,Curatif,1.0,3604.25,1.0
AEV,AEF19,248191,2023,Nanterre / La Défense,PCTT Ouest,Curatif,2.0,7374.3,2.0
AEV,AEF19,248191,2023,Nogent,PCTT Est,Curatif,1.0,3687.15,1.0
AEV,AEF19,248191,2023,Saint Cloud,PCTT Ouest,Curatif,2.0,7374.3,2.0
AEV,AEF19,248191,2023,Thiais,PCTT Est,Curatif,1.0,3687.15,1.0
AEV,AEF19,248191,2024,Bellerive,PCTT Ouest,Curatif,3.0,11306.53,3.0
AEV,AEF19,248191,2024,Bobigny-Lumen-Norton,PCTT Nord,Curatif,5.0,18435.75,5.0
AEV,AEF19,248191,2024,Nanterre / La Défense,PCTT Ouest,Curatif,2.0,7496.84,2.0
AEV,AEF19,248191,2024,PCTT,PCTT Est,Fourniture,8.0,29497.2,8.0
AEV,AEF19,248191,2024,PCTT,PCTT Sud,Fourniture,3.0,11429.07,0.0
AEV,AEF19,248191,2024,Saint Cloud,PCTT Ouest,Curatif,5.0,18435.75,5.0
AEV,AEF19,248191,2024,Sévines,PCTT Ouest,Curatif,1.0,3687.15,1.0
AEV,AEC21,248193,2023,Bicêtre,PCTT Sud,Curatif,8.0,1596.18,7.99
AEV,AEC21,248193,2023,Bobigny-Lumen-Norton,PCTT Nord,Curatif,23.0,4681.19,23.0
AEV,AEC21,248193,2023,La Courneuve,PCTT Nord,Curatif,5.0,1017.65,5.0
AEV,AEC21,248193,2023,Landy,PCTT Ouest,Curatif,6.0,1193.7,6.0
AEV,AEC21,248193,2023,Nanterre / La Défense,PCTT Ouest,Curatif,18.0,3599.42,18.0
AEV,AEC21,248193,2023,Nogent,PCTT Est,Curatif,2.0,407.06,2.0
AEV,AEC21,248193,2023,Orly,PCTT Sud,Curatif,1.0,203.53,1.0
