,Unnamed: 0,mar_diminutif,prod_code,prod_id,com_bud_annee,lieu,unite,typeP,com_prod_quantite,com_prod_montant_ht,quantite_constate
0,0,AEV,AEPB11,248147,2023,Chennevières,PCTT Ouest,Preventif,2.0,1722.76,2.0
1,1,AEV,AEPB11,248147,2024,Chennevières,PCTT Ouest,Preventif,2.0,1762.38,2.0
2,21,AEV,AEFN11,248159,2023,Bobigny-Lumen-Norton,PCTT Nord,Preventif,4.0,1453.8,4.0
3,22,AEV,AEFN11,248159,2024,Bobigny-Lumen-Norton,PCTT Nord,Preventif,4.0,1511.96,4.0
4,23,AEV,AEPN22,248161,2023,La Courneuve,PCTT Nord,Preventif,2.0,1481.56,2.0
5,24,AEV,AEPN22,248161,2024,La Courneuve,PCTT Nord,Preventif,2.0,1515.64,2.0
6,30,AEV,AEPN23,248171,2023,Landy,PCTT Nord,Preventif,2.0,6383.08,2.0
7,31,AEV,AEPN23,248171,2024,Landy,PCTT Nord,Preventif,2.0,6529.9,2.0
8,57,AEV,AEPO16,248177,2023,Neuilly,PCTT Ouest,Preventif,2.0,1951.2,2.0
9,58,AEV,AEPO16,248177,2024,Neuilly,PCTT Ouest,Preventif,4.0,3992.16,2.0
10,126,AEV,AEPE22,248195,2023,Champigny,PCTT Est,Preventif,2.0,4445.34,2.0
11,127,AEV,AEPE22,248195,2024,Champigny,PCTT Est,Preventif,2.0,4445.34,2.0
12,128,AEV,AEPS23,248199,2023,Fresnes,PCTT Sud,Preventif,2.0,1369.28,2.0
13,129,AEV,AEPS23,248199,2024,Fresnes,PCTT Sud,Preventif,4.0,2829.6,4.0
14,143,AEV,AEFO11,248205,2023,Nanterre / La Défense,PCTT Ouest,Preventif,1.0,2314.88,1.0
15,144,AEV,AEFO11,248205,2024,Nanterre / La Défense,PCTT Ouest,Preventif,2.0,4736.24,1.0
16,179,AEV,AEPB12,248219,2024,Fontenay le Fleury,PCTT Ouest,Preventif,2.0,1485.0,1.0
17,195,AEV,AEPS21,248231,2023,Antony,PCTT Sud,Preventif,2.0,3133.92,2.0
18,196,AEV,AEPS21,248231,2024,Antony,PCTT Sud,Preventif,4.0,6476.16,4.0
19,197,AEV,AEPO11,248233,2023,Nanterre / La Défense,PCTT Ouest,Preventif,1.0,8798.61,1.0
20,198,AEV,AEPO11,248233,2024,Nanterre / La Défense,PCTT Ouest,Preventif,2.0,18001.96,1.0
21,199,AEV,AEFB10,248235,2023,Ambroise PARE,PCTT Ouest,Preventif,2.0,1407.4,2.0
22,200,AEV,AEFB10,248235,2024,Ambroise PARE,PCTT Ouest,Preventif,2.0,1439.78,2.0
23,201,AEV,AEPS24,248237,2023,Bicêtre,PCTT Sud,Preventif,6.0,4295.0,6.0
24,202,AEV,AEPS24,248237,2024,Bicêtre,PCTT Sud,Preventif,6.0,4423.32,6.0
25,204,AEV,AEPE24,248241,2023,Nogent,PCTT Est,Preventif,2.0,5428.82,2.0
26,205,AEV,AEPE24,248241,2024,Nogent,PCTT Est,Preventif,2.0,5553.68,1.71
27,206,AEV,AEPN20,248243,2023,Bobigny-Lumen-Norton,PCTT Nord,Preventif,2.0,7893.46,2.0
28,207,AEV,AEPN20,248243,2024,Bobigny-Lumen-Norton,PCTT Nord,Preventif,2.0,8075.0,2.0
29,208,AEV,AEFO12,248245,2023,Nanterre / La Défense,PCTT Ouest,Preventif,1.0,649.91,1.0
30,209,AEV,AEFO12,248245,2024,Nanterre / La Défense,PCTT Ouest,Preventif,2.0,1329.72,1.0
31,214,AEV,AEPE26,248257,2023,Boissy-Saint-Léger,PCTT Est,Preventif,4.0,4033.62,4.0
32,215,AEV,AEPE26,248257,2024,Boissy-Saint-Léger,PCTT Est,Preventif,2.0,2039.74,2.0
33,221,AEV,AEFB14,248265,2023,Bellerive,PCTT Ouest,Preventif,2.0,1435.92,2.0
34,222,AEV,AEFB14,248265,2024,Bellerive,PCTT Ouest,Preventif,2.0,1468.94,2.0
35,228,AEV,AEFO10,248275,2023,Nanterre / La Défense,PCTT Ouest,Preventif,1.0,1917.59,0.0
36,229,AEV,AEFO10,248275,2024,Nanterre / La Défense,PCTT Ouest,Preventif,2.0,3923.38,2.0
37,230,AEV,AEPS20,248279,2023,Bicêtre,PCTT Sud,Preventif,6.0,11672.1,6.0
38,231,AEV,AEPS20,248279,2024,Bicêtre,PCTT Sud,Preventif,6.0,12020.8,6.0
39,232,AEV,AEPN21,248281,2023,Bobigny-Lumen-Norton,PCTT Nord,Preventif,2.0,1481.56,2.0
40,233,AEV,AEPN21,248281,2024,Bobigny-Lumen-Norton,PCTT Nord,Preventif,2.0,1515.64,2.0
41,243,AEV,AEFB11,248289,2023,Chennevières,PCTT Ouest,Preventif,2.0,647.84,2.0
42,244,AEV,AEFB11,248289,2024,Chennevières,PCTT Ouest,Preventif,2.0,662.74,0.0
43,267,AEV,AEFO13,248297,2023,Nanterre / La Défense,PCTT Ouest,Preventif,1.0,1058.21,1.0
44,268,AEV,AEFO13,248297,2024,Nanterre / La Défense,PCTT Ouest,Preventif,2.0,2165.1,1.0
45,269,AEV,AEPN24,248301,2023,Taverny,PCTT Nord,Preventif,2.0,1737.72,2.0
46,270,AEV,AEPN24,248301,2024,Taverny,PCTT Nord,Preventif,2.0,1777.68,2.0
47,271,AEV,AEFO14,248303,2023,Sévines,PCTT Ouest,Preventif,2.0,755.42,2.0
48,272,AEV,AEFO14,248303,2024,Sévines,PCTT Ouest,Preventif,4.0,1545.6,2.0
49,273,AEV,AEPB10,248305,2023,Ambroise PARE,PCTT Ouest,Preventif,2.0,4118.06,2.0
50,274,AEV,AEPB10,248305,2024,Ambroise PARE,PCTT Ouest,Preventif,2.0,4212.78,2.0
51,275,AEV,AEFB13,248307,2023,Saint Cloud,PCTT Ouest,Preventif,2.0,1464.44,2.0
52,276,AEV,AEFB13,248307,2024,Saint Cloud,PCTT Ouest,Preventif,2.0,1498.12,2.0
53,277,AEV,AEFN12,248311,2023,La Courneuve,PCTT Nord,Preventif,4.0,1453.8,4.0
