,Tunnel,Marché,Référence prix,Coefficient,freq_totale,nbr_equipe,Source Cell,Formula Type
0,Boissy,Bâtiment,VJE001,1.0,6.0,1.0,G3,sum_2
1,Boissy,Bâtiment,VJE002,,,,,
2,Boissy,Bâtiment,VNE001,1.0,6.0,1.0,G4,sum_2
3,Boissy,Bâtiment,VNE002,,,,,
4,Boissy,Bâtiment,MPE001,1.0,1.0,1.0,G5,sum_2
5,Boissy,Bâtiment,MPE002,,,,,
6,Boissy,Propreté,POL030,1.0,2.0,2.0,G6,direct
7,Boissy,ContReg,CRC106,1.0,1.0,1.0,G7,direct
8,Boissy,ContReg,CRC107,1.0,0.5,1.0,G8,direct
9,Boissy,ContReg,CRE110,1.0,1.0,1.0,G9,direct
10,Boissy,ContReg,CRC101,1.0,1.0,0.0,G10,direct
11,Boissy,ContReg,CRC102,1.0,1.0,0,G11,direct
12,Boissy,ContReg,CRC103,1.0,1.0,0.0,G12,direct
13,Boissy,Eclairage,ECPE05,1.0,2.0,2.0,G13,direct
14,Boissy,Eclairage,ECPE18,1.0,2.0,2.0,G14,direct
15,Boissy,Eclairage,ECPE66,1.0,0.4,2.0,G15,sum_3
16,Boissy,Eclairage,ECPE68,,,,,
17,Boissy,Eclairage,ECPE69,,,,,
18,Boissy,AEV,ECPE16,1.0,2.0,2.0,G16,direct
19,Boissy,AEV,ECPE18,1.0,2.0,2.0,G17,direct
20,Boissy,AEV,AEV08,1.0,1.0,32.0,G18,direct
21,Boissy,Automate,AUPR27,1.0,1.0,1.0,G19,direct
22,Boissy,Automate,AUPR28,1.0,1.0,1.0,G20,direct
23,Boissy,Automate,AUPR47,1.0,1.0,3.0,G21,direct
24,Boissy,Automate,AUPR48,1.0,1.0,9.0,G22,direct
25,Boissy,PAU/TSE,RAU-PE01,1.0,1.0,1.0,G23,direct
26,Boissy,PAU/TSE,TSE-PE01,1.0,1.0,1.0,G24,direct
27,Boissy,MEC,713,1.0,0.5,1.0,G25,direct
28,Boissy,MEC,717,1.0,0.5,1.0,G26,direct
29,Boissy,MEC,721,1.0,0.0,1.0,G27,direct
30,Boissy,MEC,733,1.0,0.5,1.0,G28,direct
31,Boissy,MEC,740,1.0,0.5,1.0,G29,direct
32,Boissy,MEC,747,1.0,0.0,1.0,G30,direct
33,Boissy,MEC,763,1.0,0.5,1.0,G31,direct
34,Boissy,MEC,768,1.0,0.5,1.0,G32,direct
35,Boissy,MEC,773,1.0,0.0,1.0,G33,direct
36,Boissy,MEC,783,1.0,1.0,1.0,G34,direct
37,Boissy,MEC,401,1.0,0.5,5.0,G35,direct
